"mainEstMean_1" "mainEstMean_2" "mainEstMean_3" "mainEstMean_4" "mainEstMean_5" "mainEstMean_6" "crossEstMean_1" "crossEstMean_2" "crossEstMean_3" "crossEstMean_4" "crossEstMean_5" "crossEstMean_6" "thetaEstMean_1" "thetaEstMean_2" "thetaEstMean_3" "thetaEstMean_4" "thetaEstMean_5" "thetaEstMean_6" "25%_1" "25%_2" "25%_3" "25%_4" "25%_5" "25%_6" "75%_1" "75%_2" "75%_3" "75%_4" "75%_5" "75%_6" "2.5%_1" "2.5%_2" "2.5%_3" "2.5%_4" "2.5%_5" "2.5%_6" "97.5%_1" "97.5%_2" "97.5%_3" "97.5%_4" "97.5%_5" "97.5%_6" "corrEstMean" "prior" "sigma" "N" "cross" "iteration"
0.59245552 0.70768429 0.54548974 0.463399507 0.319326071 0.317729463 0.1149820686 0.001640379356 -0.02075340295 -0.04224352993 0.02324567716 0.104097786281 0.29362196 0.37665916 0.42277527 0.354722907 0.43303394 0.286845092 0.01486205 -0.04545945 -0.0796708 -0.116874 -0.047882075 0.02236515 0.21414375 0.0611881 0.048114775 0.02845475 0.10242025 0.189385 -0.1418625 -0.18753305 -0.20164035 -0.21481415 -0.1868989 -0.0669380125 0.353023175 0.177150325 0.1474989 0.187057875 0.2016087 0.252617675 0.68928947 "SVNP" 0.1 100 0.5 1
0.5427589 0.53532079 0.40803112 0.55318726 0.333894438 0.2450733683 0.046735705135 0.02661704398 -0.03365137386 -0.0060418425 -0.0168899931 0.0736149691 0.41795173 0.44654546 0.38519931 0.161078637 0.31212093 0.27416616 -0.0436509 -0.0511953 -0.09006475 -0.06851995 -0.10288825 -0.0036224475 0.13217525 0.0968002 0.03383075 0.0584596 0.0483053 0.15975575 -0.1415652 -0.193260075 -0.203771025 -0.188781675 -0.18778105 -0.158411425 0.26819185 0.207774 0.1483189 0.1638637 0.190243175 0.297183425 0.88977435 "SVNP" 0.1 100 0.5 2
0.5424405 0.77886461 0.46167967 0.6762398 0.420272467 0.1302888412 0.02861659775 -0.01564286044 0.0410050942 -0.0128744645 -0.0034279326 0.076577172407 0.35337947 0.49556809 0.34472416 0.208706918 0.32160416 0.25838912 -0.029588325 -0.0573596 -0.0255549 -0.0748241 -0.083034375 -0.000619304475 0.0875463 0.037345375 0.11196475 0.0553488 0.071240325 0.13646975 -0.14348155 -0.174238725 -0.151851725 -0.2143204 -0.147655275 -0.1098605825 0.241836175 0.131004075 0.2459873 0.180473825 0.1719795 0.269738225 0.85241901 "SVNP" 0.1 100 0.5 3
0.51683103 0.78743866 0.58299041 0.55998424 0.363853366 0.237144696 0.0783195591 -0.0161402416 0.0338229111 0.0013937974 -0.0357506284 0.06781573682 0.30922498 0.31406495 0.27474744 0.248511298 0.45758329 0.29877004 0.001052375 -0.0824229 -0.02090345 -0.042984975 -0.09620495 -0.0291989 0.1483895 0.054343825 0.08889745 0.055511 0.03757165 0.15827925 -0.112468725 -0.201782875 -0.09836229 -0.1828638 -0.1913372 -0.120535225 0.2751303 0.1660167 0.1675442 0.16966435 0.129482175 0.277383425 0.81559625 "SVNP" 0.1 100 0.5 4
0.49922238 0.6132617 0.58103312 0.578622449 0.338567403 0.2150700304 0.0441588019 0.00514728708 0.01426892234 -0.0132231971 -0.00476620827 0.0530897843 0.31049869 0.51219292 0.40999421 0.29920512 0.43007212 0.37453657 -0.0132579 -0.0523946 -0.056578075 -0.0651397 -0.091344075 -0.012746475 0.10700425 0.0627727 0.0900012 0.06164655 0.080760575 0.11833225 -0.2061412 -0.199426825 -0.1570572 -0.1904381 -0.2253408 -0.164869325 0.2538935 0.17502695 0.2026903 0.21075425 0.181679025 0.237569175 0.91852353 "SVNP" 0.1 100 0.5 5
0.57667456 0.8379974 0.32233965 0.31764907191 0.63558433 0.185567801 0.0834262323 -0.00808463439 -0.0627802348 -0.0221500728 0.0122949067 0.0418515598 0.36393259 0.223115271 0.27147494 0.27629467 0.365418367 0.29275617 0.02773285 -0.0850475 -0.1049405 -0.087667825 -0.055814325 -0.023378275 0.14282925 0.07282935 -0.0092330775 0.043026075 0.075641125 0.106694 -0.109121275 -0.211005375 -0.197290475 -0.1829963 -0.149348875 -0.14495655 0.282602 0.172327825 0.0785048599999998 0.159589225 0.1918034 0.198521225 0.695752787 "SVNP" 0.1 100 0.2 1
0.50004027 0.82307479 0.32873284 0.2422308027 0.332120998 0.1771700539 0.06001502667 0.016418289561 0.0304765268 -0.0075982157 0.0121207924 0.0832713902 0.294192715 0.271328011 0.39013708 0.34406946 0.383919024 0.35150157 0.00097514425 -0.045315975 -0.02524475 -0.0701332 -0.040300525 0.040492475 0.10964625 0.073243425 0.09761415 0.06089225 0.076135675 0.14336075 -0.074282315 -0.1416918 -0.1578166 -0.1919724 -0.189144825 -0.155802375 0.22153435 0.15783775 0.158430725 0.18878055 0.180678925 0.2384716 0.537964768 "SVNP" 0.1 100 0.2 2
0.49686079 0.76879535 0.49298316 0.1312714702 0.35223479 0.349820545 0.0545422498 0.0432352584 -0.00765333113 -0.0076598042 0.00656877713 0.02399838181 0.41527659 0.249248635 0.329440282 0.3173963 0.31964268 0.237618399 0.0151059 -0.010939975 -0.065076075 -0.0573697 -0.05902145 -0.031079175 0.10413925 0.093433825 0.0480392 0.03583355 0.082664425 0.083807525 -0.091677995 -0.1001432725 -0.1614065 -0.143818325 -0.18685805 -0.1354124 0.198045025 0.210418425 0.1582516 0.126000425 0.19195255 0.197364025 0.461107746 "SVNP" 0.1 100 0.2 3
0.59207133 0.68258944 0.323838537 0.15138221054 0.192262318 0.1262180381 0.0657652988 0.0298704336 -0.02507689091 0.0044518666608 0.0152888608 0.0178496019 0.27464088 0.284057254 0.4018029 0.31738713 0.361162719 0.327658197 0.017574 -0.025332275 -0.079747325 -0.045860525 -0.0498456 -0.046298625 0.14222525 0.087428775 0.027597925 0.0723872 0.0838757 0.0832208 -0.18954955 -0.15868615 -0.215916775 -0.1939293 -0.185654 -0.188920125 0.203307025 0.199656475 0.14013525 0.182891475 0.18330275 0.16438905 0.413549663 "SVNP" 0.1 100 0.2 4
0.49757234 0.79952735 0.46427551 0.22228115603 0.1771945042 0.192713356 0.0789056237 0.0092657096 0.02359169894 -0.0222823419 0.00492422005 0.0317586178 0.43681844 0.215770065 0.25098662 0.27769041 0.41290057 0.241019103 0.016278125 -0.0540036 -0.0253444 -0.08404695 -0.0695533 -0.0354984 0.13726325 0.073086375 0.0782593 0.038903975 0.091305925 0.098560325 -0.0914921875 -0.18475185 -0.129354725 -0.195530725 -0.198535725 -0.182577175 0.232371275 0.1689987 0.14314605 0.1554572 0.2024092 0.2167546 0.538072294 "SVNP" 0.1 100 0.2 5
