"","biasMain_1","biasMain_2","biasMain_3","biasMain_4","biasMain_5","biasMain_6","biasCross_1","biasCross_2","biasCross_3","biasCross_4","biasCross_5","biasCross_6","biasTheta_1","biasTheta_2","biasTheta_3","biasTheta_4","biasTheta_5","biasTheta_6","biasFactCorr","prior","sigma","N","iteration"
"1",0.3657667638,0.476085602,0.71002938,0.71100551,0.52267541941,0.3564941418,0.79832606659,0.01356695,0.0001379,0.00740306,0.000266070000000002,0.8199476545,0.07147932,0.1573607,0.1919364952,0.1829373759,0.08312529,0.03483854,0.49309721,"SVNP",0.1,200,1
"2",0.07900511,0.1196301,0.47189101,0.75242912,0.224061863,0.034495615,0.80766639416,0.0134648008,0.0132887551,0.02300849733,0.0126553293,0.80713605192,0.02013998,0.04602037,0.2564897,0.072503116,0.19511852,0.03625228,0.50344899,"SVNP",0.1,200,2
"3",0.05689205,0.05414416,0.40988699,0.75050999,0.174048778,0.025669917,0.7953887824,0.0053830991,0.0028422484,0.0039312701,0.000565865100000001,0.78593935719,0.04041632,0.01383712,0.41212353,0.01515581,0.09850066,0.01141163,0.50131205,"SVNP",0.1,200,3
"4",0.00624680999999999,0.01498793,0.26854,0.0200786741,0.19218667,0.1910556081,0.5699019,0.0565445614,0.01622226,0.0504548077,0.12129668194,0.46494141,0.08789314,0.04883573,0.18071682,0.06157334,0.197090281,0.0329083,0.2037340022,"SVNP",0.1,200,4
"5",0.320609557,0.533894688,0.70383393,0.70391754,0.5401503322,0.27910209457,0.6621980685,0.33297734,0.25162827,0.28455291,0.38808047,0.8811105588,0.05125985,0.16036538,0.1381626092,0.1704375439,0.02168208,0.0377067,0.107365935,"SVNP",0.1,200,5
"21",0.05063674,0.14339282,0.48295943,0.80157826,0.265216232,0.063740592,0.80088509771,8.29373589999999e-05,0.00097465034,0.00058621693,0.000212021225,0.7992535171,0.03700505,0.06308164,0.51999487,0.056827729,0.15952946,0.05819559,0.49836275,"SVNP",0.01,200,1
"22",0.03240633,0.000564549999999997,0.69028141,0.83460519,0.10413647,0.04978381,0.800663935501,0.00075306448,0.000227333139,0.00092183994,0.00051242569,0.799633966013,0.02202618,0.09186063,0.32830361,0.05206369,0.10479928,0.01324939,0.50407664,"SVNP",0.01,200,2
"23",0.01410157,6.38800000000161e-05,0.53378207,0.68236646,0.09922188,0.048161422,0.79894060873,0.00295913725,0.00108970756,6.602262e-05,0.000266875656,0.80013439888,0.01622138,0.0511339,0.298057,0.12587431,0.18988531,0.08118569,0.47739282,"SVNP",0.01,200,3
"24",0.0469877,0.10841152,0.65951423,0.71262633,0.08831449,0.017067559,0.800909752088,0.00131723991,2.02640000000079e-07,0.000428985756,0.00103205532,0.801905015602,0.0346043,0.10899955,0.25815592,0.02254897,0.07104457,0.03554807,1.48166154,"SVNP",0.01,200,4
"25",0.04347579,0.00928205999999998,0.43880904,0.74898525,0.23892004,0.0854730068,0.7999615490249,1.87559499999999e-06,0.000520872521,2.120407e-05,0.00043056346,0.80103313228,0.02054874,0.09470356,0.33936197,0.01398414,0.16078694,0.04340383,1.48340281,"SVNP",0.01,200,5
"31",0.03970751,0.0896875,0.40723263,0.79658954,0.14410042,0.09305241,0.799976091681,5.515156e-05,0.000207588328,9.5536587e-05,5.41772351e-05,0.7999955992726,0.00366135000000001,0.14158478,0.39379611,0.034424411,0.1940215,0.06277008,0.52413951,"SVNP",0.001,200,1
"32",0.0499627,0.0307697300000001,0.59420751,0.65009659,0.05524141,0.00500486999999999,0.8000860633643,6.95422067e-05,1.631363e-05,0.000127909989,0.000143189077,0.8000427800228,0.0351461,0.07113955,0.34509718,0.02027602,0.11739588,0.06245847,0.49478573,"SVNP",0.001,200,2
"33",0.05523986,0.11145429,0.71700688,0.81898514,0.00340784999999999,0.0237353,0.7999620350752,0.000106048142,8.7322914e-05,0.0001312134541,5.1072e-05,0.7999731671218,0.01718383,0.10077143,0.29227392,0.0453368,0.09639626,0.03001253,0.48774025,"SVNP",0.001,200,3
"34",0.03947968,0.10112327,0.496026,0.78185409,0.23703002,0.04062502,0.799979930889,1.9967821e-05,0.0001097354121,7.6758437e-05,7.3743579e-05,0.7999937662409,0.02256017,0.04457632,0.44635995,0.057726288,0.19795908,0.04214516,1.48612231,"SVNP",0.001,200,4
"35",0.0681143400000001,0.06739357,0.39875609,0.78511751,0.20935866,0.063269979,0.7999545000508,7.6551585e-06,8.241661e-06,6.61235454e-05,9.385347e-05,0.799958310426,0.03956204,0.02261427,0.42569326,0.03040913,0.14966061,0.00431177999999999,1.44741007,"SVNP",0.001,200,5
