"mainEstMean_1" "mainEstMean_2" "mainEstMean_3" "mainEstMean_4" "mainEstMean_5" "mainEstMean_6" "crossEstMean_1" "crossEstMean_2" "crossEstMean_3" "crossEstMean_4" "crossEstMean_5" "crossEstMean_6" "thetaEstMean_1" "thetaEstMean_2" "thetaEstMean_3" "thetaEstMean_4" "thetaEstMean_5" "thetaEstMean_6" "25%_1" "25%_2" "25%_3" "25%_4" "25%_5" "25%_6" "75%_1" "75%_2" "75%_3" "75%_4" "75%_5" "75%_6" "2.5%_1" "2.5%_2" "2.5%_3" "2.5%_4" "2.5%_5" "2.5%_6" "97.5%_1" "97.5%_2" "97.5%_3" "97.5%_4" "97.5%_5" "97.5%_6" "corrEstMean" "prior" "scaleGlobal" "scaleLocal" "dfGlobal" "dfLocal" "nu" "scaleSlab" "N" "cross" "iteration"
0.50628453 0.7173287 0.10184744143 0.2663157569 0.62611875 0.1161463989 0.05818778296 -0.03625891942 0.04495174634 0.00588515156 -0.0173862756648 0.216414164449 0.31187603 0.3930372 0.27021331 0.28319072 0.1712548382 0.3268142 -0.0019496225 -0.078259575 -0.00190707 -0.033907925 -0.048129025 0.064140875 0.111902 0.023276025 0.07243885 0.04643975 0.028145825 0.35418175 -0.065143305 -0.4325078 -0.06929288 -0.188522025 -0.259104025 -0.052317365 0.261139475 0.243794675 0.256799375 0.2231898 0.190958775 0.528078825 0.67101691 "RHSP" 1 0.1 3 1 1 0.1 100 0.2 1
0.49554562 0.86665355 0.42130844 0.486643889 0.313984076 0.1219553949 0.033598730425 -0.009888325385 0.063371723696 0.01706340091 -0.00668628184 -0.0138378722508 0.26834511 0.368745179 0.33472891 0.1805201371 0.33652987 0.25867647 -0.011495025 -0.0242375 0.000623713 -0.018036875 -0.022536 -0.032249975 0.0639166 0.02150895 0.10678825 0.04622 0.0164341 0.0194433 -0.1701599 -0.2374101 -0.0697408775 -0.0868252775 -0.12971075 -0.18900505 0.3281303 0.137512975 0.271678125 0.192490525 0.110886 0.11299895 0.75649239 "RHSP" 1 0.1 3 1 1 0.1 100 0.2 2
0.487350768 0.75002252 0.46867306 0.17758606861 0.074960653 0.0489660827 0.21218094202 0.0406503302 -0.03253978781 0.0236884830039 0.013929532505 0.017878160258 0.35314712 0.235049868 0.25238118 0.32731358 0.3382822377 0.277345493 0.067873225 -0.020231025 -0.06660485 -0.00954333 -0.032626425 -0.0258202 0.32382975 0.076946725 0.0066151725 0.064669175 0.042756725 0.061908625 -0.0595203875 -0.1346502 -0.302936 -0.1704169 -0.1926282 -0.12686275 0.51296345 0.378999649999999 0.17304205 0.263140874999999 0.222936325 0.1568982 0.31359638 "RHSP" 0.1 1 1 1 1 0.1 100 0.2 1
0.47117925 0.6600942 0.401757364 0.24780253 0.316142037 0.3123664585 0.04607264447 -0.003759238533 0.00738101481 0.008366288436 -0.00573206275 0.039847948065 0.39042202 0.44684787 0.36244069 0.23887892 0.437806718 0.397267684 -0.00431467 -0.033708075 -0.024941075 -0.028635025 -0.032271475 -0.009373315 0.093328375 0.024194325 0.0317967 0.023597575 0.017572525 0.091950675 -0.1001629575 -0.1320489 -0.215086025 -0.1561294 -0.17577275 -0.286152775 0.266157475 0.144445 0.1999267 0.16143235 0.132461999999999 0.33595755 0.66842363 "RHSP" 0.1 1 1 1 1 0.1 100 0.2 2
0.4965049 0.8190393 0.48987683 0.1545631973 0.4252965 0.36605181 0.1349019109 0.01612514714 -0.0345335357 -0.013859346931 0.0012805755 0.023482613883 0.41887389 0.40278141 0.31856097 0.27596384 0.336524446 0.228880768 0.059321225 -0.05552525 -0.086796575 -0.061629675 -0.063124225 -0.029303625 0.207049 0.072678925 0.031881525 0.03719985 0.07541605 0.0762189 -0.0524420525 -0.186836525 -0.338846275 -0.1703519 -0.216994975 -0.1289007 0.342954374999999 0.236170025 0.1473425 0.174323025 0.214289075 0.200908175 0.54421921 "RHSP" 1 1 1 1 1 0.1 100 0.2 1
0.48627405 0.72893805 0.42164894 0.1355068635 -0.0598778858 -0.062208533 0.3224020245 0.0616481581 0.0166026342 0.0346683537 0.093924226387 0.03783090083 0.42247754 0.44324401 0.20624442 0.30540883 0.2327079757 0.287494367 0.25820375 -0.050139325 -0.093432775 -0.03953425 -0.035111475 -0.12408225 0.39384825 0.1748535 0.1051965 0.119042 0.19242325 0.17187 0.00788287625 -0.4544312 -0.336691225 -0.272470375 -0.225529525 -0.2882901 0.5389798 0.615738999999999 0.47412765 0.3382548 0.464031325 0.52968425 -0.03404162168 "RHSP" 1 1 1 1 1 0.1 100 0.2 2
0.42693578 0.59844639 0.58864126 0.326400367 0.320293676 0.201637305 0.0162546313025 0.0022636544038 0.01443917556104 0.0023263405853 -0.003269644827 0.01212647254566 0.23738569 0.41142134 0.26134808 0.33031224 0.43580668 0.32459623 -0.0036388425 -0.0049070275 -0.0019956875 -0.00457061 -0.005989515 -0.0011818625 0.0045309075 0.0051555875 0.008008435 0.0072520925 0.00507509 0.0048462775 -0.0630985175 -0.0605540275 -0.0462213975 -0.124324675 -0.10773592 -0.074805165 0.2537051 0.0918504824999997 0.1760598 0.1049382725 0.0900394124999998 0.150078825 0.78264199 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.2 1
0.62543717 0.71227401 0.304857588 0.1650857973 0.30295136 0.24693464 0.237823114844 -0.002739110359 0.0099541983917 0.0021765461388 -5.00854159999994e-05 0.082681616774 0.294485257 0.291371647 0.30300199 0.34519896 0.40370216 0.228502331 0.10402135 -0.032995425 -0.014834575 -0.023091475 -0.028570225 -0.0015152725 0.3465975 0.03106025 0.02819 0.0166359 0.02147615 0.24258625 -0.00276115 -0.24038815 -0.145048775 -0.186113525 -0.17386435 -0.43029365 0.56447585 0.213343725 0.21507785 0.230515025 0.21104745 0.426286675 0.37945166 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.2 2
0.41024865 0.73126409 0.366934823 0.2909374147 0.402987405 0.42737747 0.046839498384 -0.007367381901 -0.015689760606 0.0024408603489 0.003474235829 0.03650204363684 0.3152105 0.335549512 0.29557166 0.31843325 0.41807713 0.28204677 -0.00312539 -0.0060694925 -0.00466386 -0.0045780825 -0.00504204 -0.002662435 0.056406475 0.001171595 0.0036147875 0.007464965 0.0068142 0.01388345 -0.02262817 -0.194442075 -0.29639 -0.0816563575 -0.0891834075 -0.036456405 0.28712345 0.10901425 0.0593644324999999 0.0755135424999999 0.121303107499999 0.349969075 0.74189566 "RHSP" 0.1 0.1 3 1 1 0.1 100 0.2 1
0.506057351 0.80466776 0.44736829 0.4154689 0.30506576 0.1486753625 -0.0027590269691 -0.0016866810211 0.007913630586 0.0354880730271 0.0012316664692 -0.005516329274 0.28683079 0.309778111 0.29477651 0.277517598 0.41819747 0.34502867 -0.00543231 -0.0026376575 -0.002291655 -0.002056765 -0.002269735 -0.008105075 0.00280951 0.00293628 0.01244 0.0172584 0.004262605 0.0022741575 -0.073090495 -0.0615205875 -0.10410935 -0.05768556 -0.0635168525 -0.086949735 0.0885253325 0.0330001199999998 0.172193025 0.508576725 0.0747196475 0.0396839849999999 0.86893299 "RHSP" 0.1 0.1 3 1 1 0.1 100 0.2 2
