"mainEstMean_1" "mainEstMean_2" "mainEstMean_3" "mainEstMean_4" "mainEstMean_5" "mainEstMean_6" "mainEstMed_1" "mainEstMed_2" "mainEstMed_3" "mainEstMed_4" "mainEstMed_5" "mainEstMed_6" "mainEstVar_1" "mainEstVar_2" "mainEstVar_3" "mainEstVar_4" "mainEstVar_5" "mainEstVar_6" "biasMainMean_1" "biasMainMean_2" "biasMainMean_3" "biasMainMean_4" "biasMainMean_5" "biasMainMean_6" "biasMainMed_1" "biasMainMed_2" "biasMainMed_3" "biasMainMed_4" "biasMainMed_5" "biasMainMed_6" "crossEstMean_1" "crossEstMean_2" "crossEstMean_3" "crossEstMean_4" "crossEstMean_5" "crossEstMean_6" "crossEstMed_1" "crossEstMed_2" "crossEstMed_3" "crossEstMed_4" "crossEstMed_5" "crossEstMed_6" "crossEstVar_1" "crossEstVar_2" "crossEstVar_3" "crossEstVar_4" "crossEstVar_5" "crossEstVar_6" "biasCrossMean_1" "biasCrossMean_2" "biasCrossMean_3" "biasCrossMean_4" "biasCrossMean_5" "biasCrossMean_6" "biasCrossMed_1" "biasCrossMed_2" "biasCrossMed_3" "biasCrossMed_4" "biasCrossMed_5" "biasCrossMed_6" "thetaEstMean_1" "thetaEstMean_2" "thetaEstMean_3" "thetaEstMean_4" "thetaEstMean_5" "thetaEstMean_6" "thetaEstMed_1" "thetaEstMed_2" "thetaEstMed_3" "thetaEstMed_4" "thetaEstMed_5" "thetaEstMed_6" "thetaEstVar_1" "thetaEstVar_2" "thetaEstVar_3" "thetaEstVar_4" "thetaEstVar_5" "thetaEstVar_6" "biasThetaMean_1" "biasThetaMean_2" "biasThetaMean_3" "biasThetaMean_4" "biasThetaMean_5" "biasThetaMean_6" "biasThetaMed_1" "biasThetaMed_2" "biasThetaMed_3" "biasThetaMed_4" "biasThetaMed_5" "biasThetaMed_6" "2.5%_1" "2.5%_2" "2.5%_3" "2.5%_4" "2.5%_5" "2.5%_6" "97.5%_1" "97.5%_2" "97.5%_3" "97.5%_4" "97.5%_5" "97.5%_6" "5%_1" "5%_2" "5%_3" "5%_4" "5%_5" "5%_6" "95%_1" "95%_2" "95%_3" "95%_4" "95%_5" "95%_6" "10%_1" "10%_2" "10%_3" "10%_4" "10%_5" "10%_6" "90%_1" "90%_2" "90%_3" "90%_4" "90%_5" "90%_6" "25%_1" "25%_2" "25%_3" "25%_4" "25%_5" "25%_6" "75%_1" "75%_2" "75%_3" "75%_4" "75%_5" "75%_6" "isZeroTres0.10Mean_1" "isZeroTres0.10Mean_2" "isZeroTres0.10Mean_3" "isZeroTres0.10Mean_4" "isZeroTres0.10Mean_5" "isZeroTres0.10Mean_6" "isZeroTres0.10Med_1" "isZeroTres0.10Med_2" "isZeroTres0.10Med_3" "isZeroTres0.10Med_4" "isZeroTres0.10Med_5" "isZeroTres0.10Med_6" "isZeroTres0.15Mean_1" "isZeroTres0.15Mean_2" "isZeroTres0.15Mean_3" "isZeroTres0.15Mean_4" "isZeroTres0.15Mean_5" "isZeroTres0.15Mean_6" "isZeroTres0.15Med_1" "isZeroTres0.15Med_2" "isZeroTres0.15Med_3" "isZeroTres0.15Med_4" "isZeroTres0.15Med_5" "isZeroTres0.15Med_6" "isZeroTres0.05Mean_1" "isZeroTres0.05Mean_2" "isZeroTres0.05Mean_3" "isZeroTres0.05Mean_4" "isZeroTres0.05Mean_5" "isZeroTres0.05Mean_6" "isZeroTres0.05Med_1" "isZeroTres0.05Med_2" "isZeroTres0.05Med_3" "isZeroTres0.05Med_4" "isZeroTres0.05Med_5" "isZeroTres0.05Med_6" "isZeroTres0Mean_1" "isZeroTres0Mean_2" "isZeroTres0Mean_3" "isZeroTres0Mean_4" "isZeroTres0Mean_5" "isZeroTres0Mean_6" "isZeroTres0Med_1" "isZeroTres0Med_2" "isZeroTres0Med_3" "isZeroTres0Med_4" "isZeroTres0Med_5" "isZeroTres0Med_6" "isZero95CI_1" "isZero95CI_2" "isZero95CI_3" "isZero95CI_4" "isZero95CI_5" "isZero95CI_6" "isZero90CI_1" "isZero90CI_2" "isZero90CI_3" "isZero90CI_4" "isZero90CI_5" "isZero90CI_6" "isZero80CI_1" "isZero80CI_2" "isZero80CI_3" "isZero80CI_4" "isZero80CI_5" "isZero80CI_6" "isZero50CI_1" "isZero50CI_2" "isZero50CI_3" "isZero50CI_4" "isZero50CI_5" "isZero50CI_6" "factCorrEstMean" "factCorrEstMed" "factCorrEstVar" "biasFactCorrMean" "biasFactCorrMed" "prior" "scaleGlobal" "scaleLocal" "dfGlobal" "dfLocal" "nu" "scaleSlab" "N" "cross" "iteration" "pos"
0.43888243 0.78128482 0.43145117 0.1613552484 0.39087034 0.282681147 0.435676 0.7705655 0.431181 0.1556395 0.4367005 0.3167565 0.00415984162978293 0.011675384599038 0.00652684170652636 0.00815386353794173 0.0688954985163277 0.0325981430141528 0.06111757 0.03128482 0.18145117 0.0613552484 0.10912966 0.032681147 0.064324 0.0205655 0.181181 0.0556395 0.0632995 0.0667565 0.0422772250295 -0.001628728388 -0.0042999590516 0.0016330386025 0.001629059324 0.001169410497 0.00935587 0.000119326 -3.773515e-05 -1.3329675e-05 4.19577e-05 -2.32055e-05 0.00449806917476617 0.00116563848092997 0.00082344004335916 0.00116661782427893 0.000892063274811381 0.00127074881434274 0.177261228 0.377261228 0.377261228 0.377261228 0.377261228 0.177261228 0.209421 0.409421 0.409421 0.409421 0.409421 0.209421 0.28767778 0.349449406 0.38377868 0.29919572 0.2353593493 0.34436634 0.2853735 0.3540495 0.3805495 0.2982285 0.2435255 0.341422 0.00287472568437535 0.0127282112255503 0.00404524633387636 0.00225425462632485 0.0135587696498172 0.00550520038333778 0.01232222 0.049449406 0.08377868 0.000804279999999991 0.0646406507 0.04436634 0.0146265 0.0540495 0.0805495 0.00177149999999998 0.0564745 0.041422 -0.009557815 -0.081404445 -0.0826239525 -0.0336443825 -0.0534727275 -0.062501265 0.237009424999999 0.0774646049999999 0.0532037474999999 0.0821208149999995 0.0536836924999999 0.0850493849999998 -0.005740167 -0.04555916 -0.061226285 -0.02384949 -0.02907113 -0.05668963 0.17033345 0.0399491599999999 0.03261571 0.046693615 0.038872045 0.051863635 -0.003667956 -0.0298993 -0.02726135 -0.01674406 -0.01919014 -0.03242094 0.1329192 0.02073353 0.01101698 0.01684194 0.02260504 0.03742544 -0.0001574525 -0.00440327 -0.0035389625 -0.00517121 -0.0038643475 -0.00413998 0.06180945 0.00607266 0.002289715 0.003029035 0.00539884 0.005509235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.377261228 0.409421 0.0697457981106505 0.122738772 0.090579 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.2 2 2
0.52021422 0.80726556 0.42313958 0.178673215 0.53880448 0.200293941 0.517363 0.79155 0.4277 0.182738 0.5520275 0.199039 0.00552532157322384 0.0108860293799055 0.00549146678790263 0.00376960135664492 0.0106426748326158 0.00591613795534871 0.0202142199999999 0.05726556 0.17313958 0.078673215 0.03880448 0.049706059 0.017363 0.04155 0.1777 0.082738 0.0520275 0.050961 0.0180428377772 0.011395875254 -0.0154138209737 -0.013425623795 0.009024100648 0.0074354095965 0.00160746 0.000534734 -0.000749353 -0.001105385 0.0008584125 0.0006050735 0.00176712926222005 0.00190881897306939 0.00191701663161934 0.00135230900027839 0.00269174685192528 0.00101423788543044 0.323803467 0.523803467 0.523803467 0.523803467 0.523803467 0.323803467 0.326868 0.526868 0.526868 0.526868 0.526868 0.326868 0.29439783 0.32694453 0.35105359 0.26090896 0.1419249931 0.31951364 0.29428 0.3176035 0.342186 0.2595645 0.1287355 0.318477 0.00306467350794051 0.0116014716816254 0.00320113146367869 0.00164639552308929 0.00884135206937984 0.00234130404249535 0.00560216999999996 0.02694453 0.05105359 0.03909104 0.1580750069 0.01951364 0.00572 0.0176035 0.042186 0.0404355 0.1712645 0.018477 -0.0290443375 -0.0524548975 -0.102586725 -0.118905375 -0.07762935 -0.0497259025 0.14321435 0.10050526 0.0187611825 0.03890863 0.140461 0.1035909025 -0.01220175 -0.028711475 -0.091654865 -0.082137625 -0.040343745 -0.033274375 0.0997534199999999 0.08356161 0.014633665 0.0198248 0.123839 0.076421435 -0.006646118 -0.01579007 -0.06336856 -0.06004114 -0.01085378 -0.01009975 0.07553225 0.0524935300000001 0.005150516 0.01068494 0.06722598 0.03045573 -0.000865701 -0.0045635225 -0.0079314225 -0.015432625 -0.0024 -0.00330357 0.0186006 0.022104975 0.0013522675 0.00180868 0.012780425 0.01170235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.523803467 0.526868 0.0332184409902634 0.023803467 0.026868 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.2 1 1
0.48847231 0.9221237 0.331253268 0.1910303128 0.20735144 0.095756944 0.4753865 0.9002495 0.3369945 0.1480515 0.528852 0.2013515 0.0174122541501757 0.041982179482697 0.0339528793701373 0.0279940131988866 0.412950948831602 0.0734997571294449 0.01152769 0.1721237 0.081253268 0.0910303128 0.29264856 0.154243056 0.0246135 0.1502495 0.0869945 0.0480515 0.028852 0.0486485 0.56772789 -0.034749229467 0.0193958513 0.00435666028 0.04028354518797 0.209410268 0.5671905 -0.00314475 0.006735525 0.001203205 -0.00057872 0.36577 0.0467727590651245 0.0157164757592602 0.00628148230442391 0.0176668493809569 0.0517418826024524 0.17628324668328 0.315592744 0.184407256 0.184407256 0.184407256 0.184407256 0.315592744 0.0408965 0.4591035 0.4591035 0.4591035 0.4591035 0.0408965 0.36191974 0.263730316 0.315161865 0.39088676 0.279581033 0.29378472 0.356751 0.265682 0.3059805 0.3981425 0.2780985 0.2892605 0.00477674415637616 0.0119556358185517 0.00657896202144876 0.00517402122315394 0.0138193743444362 0.00224141991907232 0.06191974 0.036269684 0.015161865 0.09088676 0.020418967 0.00621527999999999 0.056751 0.034318 0.0059805 0.0981425 0.0219015 0.0107395 0.096774155 -0.330958325 -0.16776929 -0.17823205 -0.2609106 -0.550565475 0.8883816 0.17601695 0.1819283 0.236233025 0.465719424999997 0.800481749999999 0.17065965 -0.2808878 -0.06885876 -0.1519097 -0.21091425 -0.528036 0.85084875 0.1433212 0.1343278 0.1870628 0.25277035 0.7153378 0.3160015 -0.2305277 -0.04042698 -0.07223782 -0.07917283 -0.3966419 0.8130635 0.1046343 0.10533 0.1184655 0.1925712 0.6274388 0.45911125 -0.070207275 -0.0085212425 -0.022405125 -0.013803975 -0.19198375 0.6859815 0.016245825 0.05516735 0.033947425 0.0517631 0.51887625 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0.184407256 0.4591035 0.331481974254209 0.315592744 0.0408965 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.5 1 5
0.45123073 0.7349867 0.53179718 0.55365611 0.36211183 0.12185743 0.4488865 0.7264115 0.5241555 0.558753 0.367241 0.1324525 0.00743395610708798 0.0100993917326768 0.0100148248121491 0.00523921124232111 0.00757490787313242 0.00789451891511525 0.04876927 0.0150133 0.28179718 0.45365611 0.13788817 0.12814257 0.0511135 0.0235885 0.2741555 0.458753 0.132759 0.1175475 0.008450188355 0.004518037092 0.005756704055 0.0011453887652 0.004106750665 0.0069967288388 -8.97493e-05 4.62722e-05 7.7055e-05 0.00011593315 0.0003171265 6.096241e-05 0.00151859432193039 0.00203405604240281 0.00352427891828713 0.000853293196423616 0.0019765743734285 0.00194553892089848 0.44281609 0.94281609 0.94281609 0.94281609 0.94281609 0.44281609 0.4587145 0.9587145 0.9587145 0.9587145 0.9587145 0.4587145 0.31982214 0.29965169 0.37564331 0.22782853 0.34699979 0.31773613 0.308735 0.30054 0.3629935 0.228745 0.342636 0.3113105 0.00321782103547515 0.00319217909005444 0.00345608887280192 0.00245282916950414 0.00254290794447061 0.00220345427298293 0.01982214 0.000348309999999963 0.07564331 0.07217147 0.04699979 0.01773613 0.00873499999999999 0.00054000000000004 0.0629935 0.071255 0.042636 0.0113105 -0.02375593 -0.0704545325 -0.06939949 -0.0698353925 -0.06025244 -0.04984387 0.10966965 0.0852942674999998 0.153308725 0.0617698349999999 0.0998551699999997 0.1048765 -0.01836241 -0.03575997 -0.03948668 -0.023341905 -0.03442812 -0.039742625 0.06618173 0.06274992 0.1073138 0.035957545 0.06186849 0.093689205 -0.01199901 -0.01500461 -0.02133441 -0.01820328 -0.01668089 -0.02510263 0.0387433700000001 0.02835348 0.0360320900000003 0.02246282 0.04632082 0.04949639 -0.006351845 -0.0027450075 -0.00464399 -0.003867015 -0.0072941825 -0.0033860225 0.00879605 0.0042769725 0.0031680175 0.0086626525 0.00904061 0.0053886275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.94281609 0.9587145 0.00307474658571909 0.44281609 0.4587145 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.5 2 6
0.42175014 0.77007996 0.311799626 0.29641417 0.3871811 0.181522105 0.42745 0.7673295 0.309168 0.297867 0.3860765 0.183897 0.0032861886549903 0.00477946170181656 0.00451306440386235 0.00295196907911222 0.0146633361573232 0.00528257224936492 0.07824986 0.02007996 0.061799626 0.19641417 0.1128189 0.068477895 0.07255 0.0173295 0.059168 0.197867 0.1139235 0.066103 0.00865284316 -0.006597169976 -0.001164074111 0.010764782979 -0.0004733844863 0.011409194734 0.0001777305 -0.0005610965 0.000429905 0.0001036441 -3.9142765e-05 0.00118341 0.00370709102195819 0.00104855135444916 0.00112510764860123 0.00205550022787689 0.000669673308875801 0.00222418200914128 0.60125163 0.80125163 0.80125163 0.80125163 0.80125163 0.60125163 0.6222285 0.8222285 0.8222285 0.8222285 0.8222285 0.6222285 0.26826051 0.279192078 0.29152221 0.32367679 0.3986149 0.33538577 0.2697455 0.275163 0.2897335 0.321696 0.401324 0.3365655 0.00125260099671707 0.00621496624974779 0.00111532157717768 0.00163494567291505 0.00398427082471717 0.00100896396478495 0.03173949 0.020807922 0.00847778999999999 0.02367679 0.0986149 0.03538577 0.0302545 0.024837 0.0102665 0.021696 0.101324 0.0365655 -0.03900219 -0.09234022 -0.0655384125 -0.0410794575 -0.048102775 -0.030442565 0.11279705 0.044354325 0.0772078375 0.149952962499999 0.0263229075 0.13169135 -0.030617225 -0.074279945 -0.04351938 -0.03563868 -0.02720513 -0.017850925 0.0452099949999999 0.031740055 0.0406013249999999 0.082242215 0.02103839 0.0721550649999999 -0.0106982 -0.035068 -0.029222 -0.01626543 -0.01742556 -0.007342782 0.01719895 0.01808622 0.0163213 0.0512808900000001 0.01304438 0.04745245 -0.001729215 -0.0065790325 -0.00574127 -0.0026561 -0.0032036375 -0.002758425 0.005976075 0.00250263 0.0073905675 0.0068541025 0.003447425 0.0073192625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.80125163 0.8222285 0.0429459806459526 0.30125163 0.3222285 "RHSP" 0.1 0.1 1 1 1 0.1 200 0.2 1 3
0.56836654 0.68839994 0.2203158594 0.1297398218 0.53559576 0.247224462 0.570049 0.685326 0.242124 0.125775 0.5743365 0.2587635 0.00701434084358424 0.0139538600372489 0.0099303968472869 0.00482080626010227 0.0619960009882448 0.0118483465904878 0.06836654 0.06160006 0.0296841406 0.0297398218 0.03559576 0.00277553799999999 0.070049 0.0646739999999999 0.00787599999999999 0.025775 0.0743365 0.00876349999999998 0.154297567219 -0.086742445185 0.044344934516 -0.02779619327 0.03168683162 0.224294655 0.1596755 -0.04245715 0.0345982 -0.01793355 0.01034125 0.2312395 0.00646426478464541 0.0179102319703036 0.00666507110376527 0.00946690529609924 0.0127246729423569 0.0121505144583845 0.16827517 0.36827517 0.36827517 0.36827517 0.36827517 0.16827517 0.1767615 0.3767615 0.3767615 0.3767615 0.3767615 0.1767615 0.249663263 0.400598676 0.34098109 0.32573365 0.19055164666 0.34932305 0.255675 0.4181695 0.342092 0.325731 0.1857665 0.349944 0.00461304165813912 0.0133706283434639 0.0021685816997797 0.00121119879847222 0.0136114547271646 0.00203449416946212 0.050336737 0.100598676 0.04098109 0.02573365 0.10944835334 0.04932305 0.044325 0.1181695 0.042092 0.025731 0.1142335 0.049944 0.0004083922725 -0.427705 -0.0787004375 -0.21420175 -0.1911249 -0.02111484 0.2767349 0.1283539 0.19514675 0.222368575 0.348521625 0.43318705 0.0032388595 -0.35661375 -0.050660585 -0.1817504 -0.11872635 0.089249845 0.2665624 0.0349985699999999 0.18549585 0.16236575 0.21184635 0.4016946 0.018463837 -0.3046297 -0.03058409 -0.1306164 -0.07276871 0.1231719 0.2491702 0.01828246 0.159211 0.06926453 0.1557261 0.3306113 0.102829975 -0.13289975 -0.0016159925 -0.08146055 -0.019077525 0.17379325 0.216426 -7.0226575e-05 0.087259425 0.0074613825 0.070590225 0.27330725 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 0 0 0 1 1 1 0 0.36827517 0.3767615 0.05176514593065 0.13172483 0.1232385 "RHSP" 0.1 0.1 1 1 1 0.1 200 0.2 2 4
0.53486419 0.80906801 0.42638992 0.1621888983 0.47451794 0.179072913 0.5264305 0.808776 0.4327045 0.1674665 0.547182 0.202709 0.00866310948443828 0.0150104424964746 0.00698203460920566 0.00655128625427466 0.0947995835701176 0.0236338738508209 0.03486419 0.0590680099999999 0.17638992 0.0621888983 0.02548206 0.070927087 0.0264305 0.0587759999999999 0.1827045 0.0674665 0.0471820000000001 0.047291 0.052401300909 -0.003902222504 -0.0282664851416 -0.03866161808 0.00488589452 0.01909421281 0.0285654 -0.0012407225 -0.01295035 -0.0234756 0.00128843 0.00249269 0.00474089180823444 0.00575269925290645 0.00295524987665029 0.00589834291418915 0.006003737213353 0.00247750730016966 0.253189401 0.453189401 0.453189401 0.453189401 0.453189401 0.253189401 0.3087405 0.5087405 0.5087405 0.5087405 0.5087405 0.3087405 0.282416326 0.3340401 0.34125866 0.25531936 0.1304734253 0.31242279 0.286942 0.341764 0.3300905 0.2505835 0.1184925 0.3103745 0.00403168371352053 0.0113704880062525 0.0048186828885903 0.0015240363689802 0.00867350840779599 0.00234578676735949 0.017583674 0.0340401 0.04125866 0.04468064 0.1695265747 0.01242279 0.013058 0.041764 0.0300905 0.0494165 0.1815075 0.0103745 -0.0401007625 -0.149620825 -0.15708155 -0.21373705 -0.1983428 -0.0708523 0.21710775 0.12679485 0.0618650274999999 0.1023098 0.172779525 0.129672475 -0.01803977 -0.12643005 -0.147994 -0.18337095 -0.1058213 -0.0446746 0.1893617 0.1100206 0.029962295 0.079296305 0.1188904 0.1185288 -0.006828099 -0.09060448 -0.104333 -0.128132 -0.06589913 -0.02379977 0.1598466 0.08258602 0.01444982 0.0285170300000001 0.09092272 0.0893277 0.001277355 -0.03421355 -0.0469039 -0.088219 -0.026307425 -0.00792127 0.09164735 0.035972375 0.000437775 0.0017381225 0.037270225 0.04486825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0.453189401 0.5087405 0.0913604510989965 0.046810599 0.00874050000000004 "RHSP" 1 0.1 1 1 1 0.1 100 0.2 1 9
0.4424344 0.78749965 0.43846699 0.1478799318 0.39236463 0.30466173 0.4334675 0.7795485 0.4364705 0.1351975 0.447775 0.347296 0.00907947756355556 0.0161826127645732 0.00684545496120192 0.00986893915216138 0.0713205106973668 0.0512849720467445 0.0575656 0.03749965 0.18846699 0.0478799318 0.10763537 0.05466173 0.0665325 0.0295485 0.1864705 0.0351975 0.052225 0.097296 0.056802365 -0.004289789159 -0.031709298211 -0.009522045196 0.00507105351 -0.00582546403 0.03508215 -0.000853278 -0.01096005 -0.001528485 -0.001292445 0.0008678085 0.00749295313332641 0.00517526507837837 0.00614504401927094 0.00336603437549289 0.00514096346701465 0.00301027835451269 0.1759213381 0.3759213381 0.3759213381 0.3759213381 0.3759213381 0.1759213381 0.2296045 0.4296045 0.4296045 0.4296045 0.4296045 0.2296045 0.2905776 0.391326259 0.38874827 0.30307906 0.2393933661 0.32126562 0.2908225 0.4151135 0.390071 0.2939825 0.2356315 0.3214355 0.0035651591659596 0.0226507770828597 0.00289894837710818 0.00262905466785495 0.0108785628711612 0.00481669729690465 0.0094224 0.091326259 0.08874827 0.00307906000000002 0.0606066339 0.02126562 0.00917750000000001 0.1151135 0.090071 0.00601749999999995 0.0643685 0.0214355 -0.0790108375 -0.18436075 -0.232344125 -0.142833725 -0.1127983 -0.130657675 0.236974425 0.152524225 0.0986552575 0.0934208125 0.191958025 0.0843485 -0.03267503 -0.12726415 -0.20522445 -0.1070657 -0.085593385 -0.1009095 0.21845785 0.10047305 0.064922915 0.089007855 0.16489585 0.077044025 -0.01704256 -0.08942653 -0.14999 -0.09157567 -0.05832048 -0.07554598 0.1669755 0.07901462 0.04708471 0.05355113 0.0780506400000001 0.04882943 0.00078280925 -0.023240975 -0.0595314 -0.035084575 -0.026133175 -0.0268314 0.12434525 0.022849025 0.00329826 0.0157272 0.020705125 0.0239277 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0.3759213381 0.4296045 0.0932135202657863 0.1240786619 0.0703955 "RHSP" 1 0.1 1 1 1 0.1 100 0.2 2 10
0.53158037 0.74974447 0.23358566 0.12302483539 0.1348111 0.07328556 0.498492 0.7341445 0.24252 0.08298265 0.3767675 0.171773 0.0195210610827001 0.0415206503543324 0.0406563339716121 0.0181157971482197 0.221567575453525 0.0457333421102745 0.03158037 0.000255530000000004 0.01641434 0.02302483539 0.3651889 0.17671444 0.00150800000000001 0.0158555 0.00747999999999999 0.01701735 0.1232325 0.078227 0.51060568 0.044788638359 0.017272737948 0.063130436087 0.10287972388 0.265382732 0.4899335 0.01391645 0.007889455 0.001228585 0.02023675 0.5376315 0.0220708674771087 0.0160232188220019 0.00317702266661587 0.0299326452651545 0.0525141414517446 0.296023646722584 0.422836725 0.077163275 0.077163275 0.077163275 0.077163275 0.422836725 0.1481445 0.3518555 0.3518555 0.3518555 0.3518555 0.1481445 0.33624592 0.41741868 0.309770385 0.29186545 0.287208761 0.30806205 0.337554 0.411921 0.3068805 0.288637 0.294265 0.305319 0.00239338530573091 0.00633018536551273 0.0103834624623342 0.00297185664713889 0.00560662636295957 0.00093407269855303 0.03624592 0.11741868 0.00977038499999999 0.00813454999999996 0.012791239 0.00806204999999999 0.037554 0.111921 0.00688050000000001 0.011363 0.00573499999999999 0.00531900000000002 0.33785865 -0.204752875 -0.0754539225 -0.11090525 -0.093731105 -0.6415566 0.922647524999999 0.3243788 0.1632468 0.590105424999997 0.877553124999996 0.929922049999999 0.34363695 -0.15821945 -0.06651391 -0.097375355 -0.06692341 -0.60564675 0.72724835 0.27748385 0.1181779 0.3315092 0.43114645 0.8599234 0.3804159 -0.1059961 -0.04814009 -0.07094129 -0.01323543 -0.5567836 0.6296748 0.2423216 0.08252788 0.2761868 0.2940129 0.7660175 0.4310195 -0.0080094675 -0.0129694 -0.0122007 -0.0003840045 -0.32526425 0.54909 0.10902125 0.046802 0.074235275 0.11878775 0.6634835 1 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0.077163275 0.3518555 0.272709182671382 0.422836725 0.1481445 "RHSP" 0.1 0.1 1 1 1 0.1 200 0.5 2 8
0.51774934 0.71060507 0.1809837447 0.2578399738 0.34790408 0.1582004886 0.510758 0.6979825 0.2591085 0.2139115 0.4426685 0.1895715 0.0147885025784893 0.0275995468983688 0.102469205578278 0.040955765231057 0.190383324256398 0.0260337548307918 0.0177493400000001 0.0393949300000001 0.0690162553 0.1578399738 0.15209592 0.0917995114 0.010758 0.0520175 0.00910850000000002 0.1139115 0.0573315 0.0604285 0.42608856852 -0.089230365084 0.0014774175 0.02616639331 0.058006650627 0.4154741265 0.472363 -0.02146465 0.00578451 0.0005320755 0.00995969 0.4300495 0.0497559381781911 0.0440427662387606 0.0102189700246206 0.0212830798806541 0.0382928163302902 0.136951828395109 0.10892278 0.39107722 0.39107722 0.39107722 0.39107722 0.10892278 0.035201 0.535201 0.535201 0.535201 0.535201 0.035201 0.30742358 0.32869598 0.42973976 0.29378394 0.330203744 0.32314711 0.312157 0.331537 0.423816 0.294476 0.350937 0.322234 0.00242910193008444 0.00471430261810061 0.00686100547711354 0.00243013477282465 0.0116142944105235 0.00103955938747263 0.00742357999999999 0.02869598 0.12973976 0.00621605999999997 0.030203744 0.02314711 0.012157 0.031537 0.123816 0.00552399999999997 0.050937 0.022234 -0.00336674105 -0.57826215 -0.288559375 -0.21641195 -0.220740775 -0.35557745 0.808878999999999 0.19677815 0.1342498 0.395818275 0.711766749999998 1.1165625 0.0028437555 -0.44032735 -0.16198655 -0.1512561 -0.146832 -0.20769945 0.6938317 0.13837645 0.1310113 0.3259004 0.431908 1.070853 0.01756382 -0.3475883 -0.07610954 -0.09400628 -0.08942709 -0.05739727 0.6648865 0.06389329 0.1062073 0.1732345 0.218758 0.7837119 0.31910725 -0.160956 -0.01654255 -0.042213825 -0.0175728 0.272359 0.5785765 0.0078049375 0.04312775 0.0532751 0.08784835 0.570082 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 0.39107722 0.535201 0.256089232948383 0.10892278 0.035201 "RHSP" 0.1 0.1 1 1 1 0.1 200 0.5 1 7
