"mainEstMean_1" "mainEstMean_2" "mainEstMean_3" "mainEstMean_4" "mainEstMean_5" "mainEstMean_6" "mainEstMed_1" "mainEstMed_2" "mainEstMed_3" "mainEstMed_4" "mainEstMed_5" "mainEstMed_6" "mainEstVar_1" "mainEstVar_2" "mainEstVar_3" "mainEstVar_4" "mainEstVar_5" "mainEstVar_6" "biasMainMean_1" "biasMainMean_2" "biasMainMean_3" "biasMainMean_4" "biasMainMean_5" "biasMainMean_6" "biasMainMed_1" "biasMainMed_2" "biasMainMed_3" "biasMainMed_4" "biasMainMed_5" "biasMainMed_6" "crossEstMean_1" "crossEstMean_2" "crossEstMean_3" "crossEstMean_4" "crossEstMean_5" "crossEstMean_6" "crossEstMed_1" "crossEstMed_2" "crossEstMed_3" "crossEstMed_4" "crossEstMed_5" "crossEstMed_6" "crossEstVar_1" "crossEstVar_2" "crossEstVar_3" "crossEstVar_4" "crossEstVar_5" "crossEstVar_6" "biasCrossMean_1" "biasCrossMean_2" "biasCrossMean_3" "biasCrossMean_4" "biasCrossMean_5" "biasCrossMean_6" "biasCrossMed_1" "biasCrossMed_2" "biasCrossMed_3" "biasCrossMed_4" "biasCrossMed_5" "biasCrossMed_6" "thetaEstMean_1" "thetaEstMean_2" "thetaEstMean_3" "thetaEstMean_4" "thetaEstMean_5" "thetaEstMean_6" "thetaEstMed_1" "thetaEstMed_2" "thetaEstMed_3" "thetaEstMed_4" "thetaEstMed_5" "thetaEstMed_6" "thetaEstVar_1" "thetaEstVar_2" "thetaEstVar_3" "thetaEstVar_4" "thetaEstVar_5" "thetaEstVar_6" "biasThetaMean_1" "biasThetaMean_2" "biasThetaMean_3" "biasThetaMean_4" "biasThetaMean_5" "biasThetaMean_6" "biasThetaMed_1" "biasThetaMed_2" "biasThetaMed_3" "biasThetaMed_4" "biasThetaMed_5" "biasThetaMed_6" "2.5%_1" "2.5%_2" "2.5%_3" "2.5%_4" "2.5%_5" "2.5%_6" "97.5%_1" "97.5%_2" "97.5%_3" "97.5%_4" "97.5%_5" "97.5%_6" "5%_1" "5%_2" "5%_3" "5%_4" "5%_5" "5%_6" "95%_1" "95%_2" "95%_3" "95%_4" "95%_5" "95%_6" "10%_1" "10%_2" "10%_3" "10%_4" "10%_5" "10%_6" "90%_1" "90%_2" "90%_3" "90%_4" "90%_5" "90%_6" "25%_1" "25%_2" "25%_3" "25%_4" "25%_5" "25%_6" "75%_1" "75%_2" "75%_3" "75%_4" "75%_5" "75%_6" "isZeroTres0.10Mean_1" "isZeroTres0.10Mean_2" "isZeroTres0.10Mean_3" "isZeroTres0.10Mean_4" "isZeroTres0.10Mean_5" "isZeroTres0.10Mean_6" "isZeroTres0.10Med_1" "isZeroTres0.10Med_2" "isZeroTres0.10Med_3" "isZeroTres0.10Med_4" "isZeroTres0.10Med_5" "isZeroTres0.10Med_6" "isZeroTres0.15Mean_1" "isZeroTres0.15Mean_2" "isZeroTres0.15Mean_3" "isZeroTres0.15Mean_4" "isZeroTres0.15Mean_5" "isZeroTres0.15Mean_6" "isZeroTres0.15Med_1" "isZeroTres0.15Med_2" "isZeroTres0.15Med_3" "isZeroTres0.15Med_4" "isZeroTres0.15Med_5" "isZeroTres0.15Med_6" "isZeroTres0.05Mean_1" "isZeroTres0.05Mean_2" "isZeroTres0.05Mean_3" "isZeroTres0.05Mean_4" "isZeroTres0.05Mean_5" "isZeroTres0.05Mean_6" "isZeroTres0.05Med_1" "isZeroTres0.05Med_2" "isZeroTres0.05Med_3" "isZeroTres0.05Med_4" "isZeroTres0.05Med_5" "isZeroTres0.05Med_6" "isZeroTres0Mean_1" "isZeroTres0Mean_2" "isZeroTres0Mean_3" "isZeroTres0Mean_4" "isZeroTres0Mean_5" "isZeroTres0Mean_6" "isZeroTres0Med_1" "isZeroTres0Med_2" "isZeroTres0Med_3" "isZeroTres0Med_4" "isZeroTres0Med_5" "isZeroTres0Med_6" "isZero95CI_1" "isZero95CI_2" "isZero95CI_3" "isZero95CI_4" "isZero95CI_5" "isZero95CI_6" "isZero90CI_1" "isZero90CI_2" "isZero90CI_3" "isZero90CI_4" "isZero90CI_5" "isZero90CI_6" "isZero80CI_1" "isZero80CI_2" "isZero80CI_3" "isZero80CI_4" "isZero80CI_5" "isZero80CI_6" "isZero50CI_1" "isZero50CI_2" "isZero50CI_3" "isZero50CI_4" "isZero50CI_5" "isZero50CI_6" "factCorrEstMean" "factCorrEstMed" "factCorrEstVar" "biasFactCorrMean" "biasFactCorrMed" "prior" "sigma" "N" "cross" "iteration" "pos"
0.518189132 0.82836419 0.4552641945 0.1657120846 0.200422356 0.179945015 0.524152 0.834733 0.45275 0.14149 0.3360305 0.3050635 0.0270471429022733 0.0770443468233878 0.0305264127916245 0.0182678069210581 0.244082294242754 0.235518021602366 0.0181891320000001 0.0783641899999999 0.2052641945 0.0657120846 0.299577644 0.070054985 0.024152 0.0847329999999999 0.20275 0.04149 0.1639695 0.0550635 0.149175663 -0.0610307266 -0.1016833477 0.0188265175 0.07165985224 0.020052516 0.183672 -0.03356025 -0.0527228 0.01942665 0.0785775 0.06140965 0.0291124361561123 0.0717676638306749 0.0715881285171073 0.0466325421887981 0.0709743798256309 0.0410707552714901 0.041102556 0.158897444 0.158897444 0.158897444 0.158897444 0.041102556 0.2228385 0.4228385 0.4228385 0.4228385 0.4228385 0.2228385 0.28705601 0.39388041 0.39839969 0.29818089 0.28774372 0.30763941 0.2886155 0.384748 0.388891 0.292336 0.292418 0.3090925 0.00382992685471707 0.0131609890604464 0.00581322317839788 0.00296534275632111 0.00867233140299152 0.00933966679707263 0.01294399 0.09388041 0.09839969 0.00181911000000001 0.01225628 0.00763941000000001 0.0113845 0.084748 0.088891 0.007664 0.00758199999999998 0.0090925 -0.2541836 -0.610865475 -0.7190536 -0.477781325 -0.471088475 -0.419309175 0.428395599999999 0.294702675 0.274879175 0.431917549999999 0.540791 0.374201449999999 -0.1786123 -0.50280235 -0.6716939 -0.42335215 -0.42495745 -0.38737125 0.3621668 0.27006375 0.20997595 0.3388516 0.44995645 0.297482 -0.06160584 -0.4047164 -0.4304093 -0.2258676 -0.2646058 -0.2729434 0.328432 0.2421393 0.1721712 0.2500706 0.4102421 0.2438314 0.05199845 -0.23645875 -0.23748775 -0.091936875 -0.09974845 -0.098202725 0.26333025 0.139744 0.076455175 0.15833225 0.26770875 0.140044 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0.158897444 0.4228385 0.445613477446697 0.341102556 0.0771615 "SVNP" 0.316227766016838 100 0.2 2 2
0.614744054 0.86777947 0.390729709 0.1892877165 0.414244356 0.186840207 0.616318 0.853235 0.409612 0.1661265 0.5024425 0.279205 0.0395081409442997 0.102216715768676 0.0445381771622833 0.0262534479433213 0.227531169198751 0.175441609504853 0.114744054 0.11777947 0.140729709 0.0892877165 0.085755644 0.063159793 0.116318 0.103235 0.159612 0.0661265 0.0024424999999999 0.029205 0.0684694828 -0.1293684823 -0.2230006446 -0.08060622228 -0.025709913 0.1037736103 0.09338805 -0.097541 -0.263755 -0.1031075 -0.0227526 0.1103195 0.0400444069448198 0.0849731807091345 0.0491120211872464 0.0537612690672122 0.100735934786025 0.042916233583623 0.2900606 0.4900606 0.4900606 0.4900606 0.4900606 0.2900606 0.6074345 0.8074345 0.8074345 0.8074345 0.8074345 0.6074345 0.285963203 0.328020138 0.33875672 0.25325079 0.223973145 0.295314544 0.287588 0.308172 0.331593 0.2479005 0.224711 0.3005065 0.00686490320536393 0.0155654398919082 0.00391138537468848 0.00179801765261202 0.00773122891151967 0.00669009644815926 0.014036797 0.028020138 0.03875672 0.04674921 0.076026855 0.00468545599999998 0.012412 0.00817200000000001 0.031593 0.0520995 0.075289 0.000506500000000021 -0.4302203 -0.69616445 -0.567276725 -0.478832875 -0.5705412 -0.289219825 0.37184995 0.347386475 0.18855945 0.399664975 0.603405899999999 0.495809125 -0.36741805 -0.652521 -0.5270759 -0.40109385 -0.5173177 -0.23190645 0.32786735 0.31191205 0.1418676 0.2971301 0.4609116 0.43016735 -0.1725819 -0.5838542 -0.4519099 -0.344275 -0.4186242 -0.1489588 0.292565 0.2410493 0.06964223 0.1820016 0.3510731 0.3780616 -0.0193392 -0.3233985 -0.39838925 -0.23496525 -0.22499925 -0.058879225 0.18707325 0.09152815 -0.0617446 0.104691 0.15804025 0.2319655 0 1 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0.4900606 0.8074345 0.424574165375192 0.00993939999999999 0.3074345 "SVNP" 0.316227766016838 100 0.2 1 1
0.48122397 0.96306106 0.2798168388 0.19380766363 0.08996258 0.0650686722 0.490221 0.968633 0.304762 0.1605015 0.523302 0.1548635 0.022529579755888 0.0499921512032287 0.0576851673723654 0.0219843509823242 0.567834426316145 0.111721579253691 0.01877603 0.21306106 0.0298168388 0.09380766363 0.41003742 0.1849313278 0.00977899999999998 0.218633 0.054762 0.0605015 0.0233019999999999 0.0951365 0.546986761 -0.114989304 -0.01006616295 0.08995923658 0.15766492016 0.140584703 0.5404895 -0.09582215 0.0051534775 0.09847745 0.158405 0.3276585 0.0355968825225666 0.0850100869438037 0.025620773601211 0.0230540013171834 0.0708306872476635 0.230393857048211 0.453140902 0.046859098 0.046859098 0.046859098 0.046859098 0.453140902 0.190053 0.309947 0.309947 0.309947 0.309947 0.190053 0.36286669 0.267613481 0.3375298 0.38306902 0.295016284 0.2922304 0.3547285 0.2592875 0.33094 0.3779335 0.289141 0.2890555 0.00379869156740798 0.0106041329555486 0.00453037480309091 0.00570151090456525 0.00979458238376661 0.00267604482218182 0.06286669 0.032386519 0.0375298 0.08306902 0.00498371599999997 0.00776959999999999 0.0547285 0.0407125 0.03094 0.0779335 0.010859 0.0109445 0.076826925 -0.6516195 -0.348358975 -0.23563175 -0.3720079 -0.71585115 0.85778155 0.46306375 0.24757505 0.412859325 0.689733224999999 0.7875425 0.2258497 -0.6250149 -0.28646925 -0.1982103 -0.29451845 -0.5724624 0.81307705 0.41012395 0.2294782 0.3544225 0.6075635 0.72145185 0.3327025 -0.5280238 -0.2058675 -0.1303364 -0.2475267 -0.4084286 0.7801306 0.1767804 0.2095975 0.2491998 0.4947589 0.6824314 0.45942475 -0.29214325 -0.13287925 0.02580015 0.014884975 -0.326645 0.66389025 0.0460622 0.10816675 0.175319 0.31031775 0.5716995 1 1 0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 0.046859098 0.309947 0.504526268992048 0.453140902 0.190053 "SVNP" 0.316227766016838 100 0.5 1 5
0.70596489 0.65595038 0.2117225726 0.1213020232 0.45904166 0.181041861 0.687718 0.6378275 0.234063 0.117791 0.63914 0.2218935 0.0251340929779575 0.0236202727320562 0.023018884898627 0.00603694425851146 0.246395705790267 0.0273915090855137 0.20596489 0.0940496199999999 0.0382774274 0.0213020232 0.04095834 0.068958139 0.187718 0.1121725 0.015937 0.017791 0.13914 0.0281065 0.1897632298 -0.1298409286 0.0775825108 -0.0373335901 0.1073725098 0.2142878587 0.196106 -0.115913 0.0820138 -0.03513745 0.11206 0.256767 0.00674055772156155 0.062622030700559 0.0134761060188497 0.0733063762822747 0.0379661296433628 0.0357907615229422 0.032519216 0.232519216 0.232519216 0.232519216 0.232519216 0.032519216 0.1666195 0.3666195 0.3666195 0.3666195 0.3666195 0.1666195 0.1754689509 0.45990958 0.32846678 0.32836079 0.147885477 0.35287418 0.1924095 0.460854 0.329074 0.3312865 0.133402 0.3495345 0.0086260645232104 0.00812554971087232 0.00169063542090061 0.00123466105067263 0.0108836296438658 0.00167067924513899 0.1245310491 0.15990958 0.02846678 0.02836079 0.152114523 0.05287418 0.1075905 0.160854 0.029074 0.0312865 0.166598 0.0495345 0.0120630615 -0.602168325 -0.1616707 -0.514790175 -0.2906652 -0.230896375 0.344062975 0.421702699999999 0.251629125 0.505864525 0.503582274999999 0.4833038 0.03978865 -0.52073525 -0.1284493 -0.43910255 -0.2250982 -0.16629445 0.3283523 0.29681255 0.24873805 0.4767182 0.40996875 0.4127012 0.09287777 -0.4218418 -0.06674538 -0.4177147 -0.1611325 -0.0554878 0.2845217 0.1441844 0.2182693 0.3163338 0.3420935 0.3949001 0.130503 -0.30167125 0.021328625 -0.20706725 0.006593855 0.113379 0.242897 0.014138075 0.16544125 0.1310325 0.2114285 0.3399635 1 1 0 0 1 1 1 1 0 0 1 1 1 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 0 0 0.232519216 0.3666195 0.248055250467206 0.267480784 0.1333805 "SVNP" 0.316227766016838 200 0.2 2 4
0.398833817 0.72346082 0.22021182611 0.2054413993 0.2209438914 -0.0123124921 0.417039 0.7771425 0.262822 0.1908035 0.2745575 0.0330718 0.0332602295607022 0.085208554124836 0.0514530177461355 0.0199450626549096 0.0933407156108215 0.0413439030490028 0.101166183 0.02653918 0.02978817389 0.1054413993 0.2790561086 0.2623124921 0.082961 0.0271425000000001 0.012822 0.0908035 0.2254425 0.2169282 0.16633567231 0.13394712074 0.1253347677 0.1013576569 0.0858511367 0.17675149877 0.1430215 0.16464 0.1390085 0.0918184 0.109525 0.153502 0.0284599842756396 0.0492630291696177 0.0310744692335443 0.05147208037819 0.103938671878653 0.0476769893605857 0.0406269 0.2406269 0.2406269 0.2406269 0.2406269 0.0406269 0.3387715 0.5387715 0.5387715 0.5387715 0.5387715 0.3387715 0.26903937 0.251090503 0.28057639 0.32713011 0.379373123 0.32809989 0.2671945 0.2715105 0.2868395 0.325548 0.393665 0.3276945 0.00170260491179101 0.0130966067479857 0.00181992814157364 0.00209599334967465 0.0088172253380329 0.00204200905282616 0.03096063 0.048909497 0.01942361 0.02713011 0.079373123 0.02809989 0.0328055 0.0284895 0.0131605 0.025548 0.0936650000000001 0.0276945 -0.156540575 -0.343296825 -0.226260825 -0.363532325 -0.484989375 -0.160540675 0.492199624999999 0.47329445 0.486543375 0.509299474999999 0.696797375 0.772274799999998 -0.10054524 -0.285335 -0.16028625 -0.335109 -0.41159585 -0.09971807 0.4477734 0.45438405 0.4121075 0.4140846 0.5742728 0.52247895 -0.00465115799999999 -0.1281167 -0.09687242 -0.2393745 -0.3475457 -0.07362225 0.3966842 0.397708 0.3403431 0.3684368 0.4627129 0.3972781 0.0520367 -0.01001524 0.0155703425 -0.01941535 -0.1221915 0.032678475 0.27951225 0.31020325 0.231586 0.2502745 0.330892 0.29240625 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 0 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0.2406269 0.5387715 0.395271640833582 0.2593731 0.0387715 "SVNP" 0.316227766016838 200 0.2 1 3
0.3636203071 0.6844650077 0.373722998 0.4288562853 0.16875718192 0.090396913 0.368208 0.679366 0.377497 0.3787785 0.181899 0.0936318 0.0333768982025687 0.1535257133008 0.0909180575754917 0.120446079767091 0.0856572244578789 0.0484942214097673 0.1363796929 0.0655349923 0.123722998 0.3288562853 0.33124281808 0.159603087 0.131792 0.070634 0.127497 0.2787785 0.318101 0.1563682 0.1904371498 0.2181579774 0.033683887 0.1248099356 0.1019853438 0.18591617 0.2561665 0.230115 0.04089545 0.1073265 0.151211 0.2163235 0.119215816174301 0.0696042692275287 0.0488222355898888 0.0538233448977941 0.10721888604094 0.0796707681670862 0.040195766 0.459804234 0.459804234 0.459804234 0.459804234 0.040195766 0.225742 0.725742 0.725742 0.725742 0.725742 0.225742 0.306174619 0.279322143 0.35322379 0.219778979 0.32029882 0.30948065 0.303669 0.2966225 0.3594205 0.2283305 0.321569 0.302998 0.00532586011654681 0.0144267204627734 0.00617268684362212 0.00799530561095258 0.00528393741738141 0.00299346857461364 0.00617461899999999 0.020677857 0.05322379 0.080221021 0.02029882 0.00948065000000003 0.00366899999999998 0.00337749999999998 0.0594205 0.0716695 0.021569 0.002998 -0.5045541 -0.5554834 -0.467149625 -0.316860125 -0.69560105 -0.330534 0.650535125 0.61967455 0.464663275 0.606820825 0.6215858 0.6576287 -0.46640885 -0.17067485 -0.3483593 -0.21245725 -0.5513119 -0.27907845 0.61555425 0.57840655 0.38024335 0.5483318 0.5375207 0.61751295 -0.3065047 -0.02430504 -0.2573577 -0.143511 -0.3854233 -0.1993274 0.5501392 0.536374 0.3127225 0.4305234 0.4568717 0.5394678 -0.032072625 0.0895476 -0.097575975 -0.03797835 -0.025649425 -0.042882625 0.49614525 0.4079575 0.15898675 0.26264425 0.32944325 0.3910125 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0.459804234 0.725742 0.341735486590989 0.040195766 0.225742 "SVNP" 0.316227766016838 100 0.5 2 6
0.53297664 0.81984897 0.39929879 0.1352427106 0.46121208 0.218925005 0.5280945 0.819267 0.3955825 0.1331305 0.51946 0.24566 0.00656407156174788 0.0182020073589587 0.00954516355915747 0.00579331749344421 0.0769420769300743 0.0221878077548619 0.03297664 0.06984897 0.14929879 0.0352427106 0.03878792 0.031074995 0.0280944999999999 0.069267 0.1455825 0.0331305 0.01946 0.00434000000000001 0.0807135045 0.03588769646 -0.04655627616 -0.04158810768 0.03628477939 0.05033374871 0.09461645 0.03544925 -0.04546035 -0.05208245 0.03322125 0.0541174 0.00437910693340839 0.00911919020452937 0.00413670692330698 0.00874275117922565 0.00767142839271035 0.00751556692036415 0.195770291 0.395770291 0.395770291 0.395770291 0.395770291 0.195770291 0.2720445 0.4720445 0.4720445 0.4720445 0.4720445 0.2720445 0.29276683 0.305039736 0.34185872 0.25639414 0.1454276518 0.30499343 0.2808305 0.2984385 0.331536 0.2559525 0.145039 0.297245 0.00427200795470818 0.0151862069682553 0.00423323249052687 0.00117053014472768 0.00715740843142647 0.00245444331196475 0.00723317000000001 0.00503973600000002 0.04185872 0.04360586 0.1545723482 0.00499343000000002 0.0191695 0.00156149999999999 0.031536 0.0440475 0.154961 0.00275500000000001 -0.066851365 -0.1475327 -0.169917675 -0.205524325 -0.13404725 -0.104850585 0.18107515 0.21823355 0.0768948674999998 0.128886025 0.212374875 0.214271925 -0.03531531 -0.12284825 -0.14903555 -0.1802653 -0.1146798 -0.087457245 0.1670144 0.1956743 0.062251375 0.1092015 0.17652825 0.1706569 -0.015629 -0.08998284 -0.1282541 -0.153419 -0.08258119 -0.07072999 0.1497329 0.1637709 0.03742914 0.0902252 0.1482099 0.1460926 0.0378107 -0.0309515 -0.0817753 -0.109917 -0.01344005 -0.0046354925 0.1327925 0.094831025 -0.005062295 0.0280487 0.090789925 0.1089765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0.395770291 0.4720445 0.095243024128922 0.104229709 0.0279555 "SVNP" 0.1 100 0.2 1 9
0.43390912 0.82450955 0.43126051 0.1201810978 0.37613331 0.3118299612 0.4244455 0.8198 0.43338 0.107217 0.4300695 0.349049 0.00799787655101576 0.0177770021520682 0.00875160959257566 0.00622297540807815 0.0778235829678928 0.0589642305196316 0.06609088 0.07450955 0.18126051 0.0201810978 0.12386669 0.0618299612 0.0755545 0.0698000000000001 0.18338 0.007217 0.0699305 0.099049 0.116293225 0.0127161632 -0.00552458957 0.00869222379 0.0086778917 0.013912092 0.1200195 0.0195201 -0.00845112 0.006227105 0.02001315 0.01349105 0.00386573239255482 0.00984680495746667 0.00605337472580417 0.00585666606185435 0.00951614376891707 0.00636538631343799 0.08296376453 0.28296376453 0.28296376453 0.28296376453 0.28296376453 0.08296376453 0.1330205 0.3330205 0.3330205 0.3330205 0.3330205 0.1330205 0.29584771 0.338981262 0.40467943 0.30267763 0.248473393 0.314155423 0.284056 0.3534975 0.4051295 0.293286 0.253416 0.3120125 0.00355474273507667 0.0236672680722198 0.00461066087675263 0.00153256094243747 0.00933103118105621 0.00575490525055714 0.00415229 0.038981262 0.10467943 0.00267762999999999 0.051526607 0.014155423 0.015944 0.0534975 0.1051295 0.006714 0.046584 0.0120125 -0.01969876 -0.20167375 -0.147271225 -0.13055305 -0.173042225 -0.152981875 0.2186569 0.21041735 0.143815 0.16470055 0.1909726 0.14807755 0.020047815 -0.15379715 -0.1240275 -0.12023755 -0.1281908 -0.1283815 0.20250075 0.14657115 0.12192125 0.13928235 0.16462565 0.1385247 0.03869808 -0.1190632 -0.09914224 -0.08616944 -0.1099467 -0.08358974 0.1891552 0.1289877 0.0963448000000001 0.1084618 0.1233644 0.1223793 0.083467575 -0.03495495 -0.056076775 -0.03989805 -0.069629075 -0.03938925 0.16127675 0.07662045 0.0390905 0.05633845 0.0788147 0.07570955 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0.28296376453 0.3330205 0.108550607148157 0.21703623547 0.1669795 "SVNP" 0.1 100 0.2 2 10
0.53456651 0.74047358 0.2861102547 0.1895491128 0.32852442 0.1213453517 0.52107 0.7419435 0.2621265 0.1622695 0.473648 0.159259 0.0184732002320706 0.0159306512076198 0.0551606503071319 0.0153980570792022 0.224090211449741 0.0350254365474054 0.03456651 0.00952642000000004 0.0361102547 0.0895491128 0.17147558 0.1286546483 0.0210699999999999 0.00805649999999991 0.0121265 0.0622695 0.026352 0.090741 0.52733988 -0.0473104746 0.03663115535 0.04602959871 0.0937044891 0.302086904 0.5356775 -0.04009625 0.05555015 0.0373411 0.0956215 0.420945 0.0134851055416218 0.0834167576313352 0.0156439398959174 0.0412432586245863 0.0402778175957062 0.106624928532195 0.229124775 0.270875225 0.270875225 0.270875225 0.270875225 0.229124775 0.063348 0.436652 0.436652 0.436652 0.436652 0.063348 0.31736511 0.303437987 0.43588661 0.29266144 0.31250902 0.32442326 0.312332 0.317433 0.4364305 0.2878005 0.305936 0.3226765 0.00281711934864434 0.00608463369976841 0.00574249352896758 0.00205881878295596 0.00556476171214101 0.00151616362132566 0.01736511 0.00343798700000003 0.13588661 0.00733855999999999 0.01250902 0.02442326 0.012332 0.017433 0.1364305 0.0121995 0.005936 0.0226765 0.324710625 -0.6003401 -0.250105925 -0.3205715 -0.25968655 -0.401761275 0.747239625 0.4514634 0.21237155 0.40245015 0.47984935 0.6856064 0.33471245 -0.54189605 -0.19578985 -0.3134628 -0.22480715 -0.35024105 0.7185232 0.3897464 0.19079655 0.38671955 0.45370015 0.63804495 0.3712293 -0.4715403 -0.1171696 -0.2233125 -0.1698728 -0.2520654 0.6986829 0.3156156 0.1811988 0.3198237 0.352736 0.6100739 0.44545275 -0.2046225 -0.034562925 -0.0789461 -0.032163025 0.18826525 0.6120825 0.1587345 0.13619475 0.176707 0.21821475 0.53481525 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 0.270875225 0.436652 0.288751609287296 0.229124775 0.063348 "SVNP" 0.316227766016838 200 0.5 1 7
0.4474819573 0.620181349 0.4292495014 0.2117901644 0.00141866688 -0.0141001513 0.48157 0.6595865 0.5108805 0.177802 -0.10115605 -0.07144035 0.0327189704675305 0.0454594162307841 0.14483039333135 0.023923830928031 0.148399201846553 0.0358218990642385 0.0525180427 0.129818651 0.1792495014 0.1117901644 0.49858133312 0.2641001513 0.0184299999999999 0.0904134999999999 0.2608805 0.077802 0.60115605 0.32144035 0.4328034971 0.1968695829 0.09281855591 0.2021390797 0.2398879153 0.038045946 0.4750855 0.225818 0.0898699 0.2176515 0.2371125 -0.1010175 0.0302506905985028 0.083060422812948 0.0181108888976239 0.0466170987728253 0.0432157721678501 0.194299462818769 0.490131377 0.009868623 0.009868623 0.009868623 0.009868623 0.490131377 0.4607802 0.0392198 0.0392198 0.0392198 0.0392198 0.4607802 0.32033029 0.45420889 0.292284808 0.28787842 0.30312001 0.30337583 0.3210525 0.4501475 0.315725 0.284664 0.3089355 0.2990835 0.00325794518529889 0.00677881308042212 0.0108636965425187 0.00322639042907434 0.0040928088379696 0.00106354790028394 0.02033029 0.15420889 0.00771519199999998 0.01212158 0.00312001000000001 0.00337583000000002 0.0210525 0.1501475 0.015725 0.015336 0.00893550000000004 0.000916499999999987 -0.00924834525 -0.448057175 -0.1847031 -0.16268275 -0.114355975 -0.55463845 0.648918425 0.651691975 0.34578395 0.570663375 0.665564175 0.7733444 0.04512054 -0.319553 -0.153328 -0.1322451 -0.08788847 -0.5072412 0.6369339 0.56992405 0.2944362 0.5121459 0.5489858 0.71147835 0.1740846 -0.1340438 -0.04982892 -0.1076034 -0.03705535 -0.4462168 0.6052577 0.5155067 0.2494749 0.4802354 0.5083587 0.6586994 0.38063425 0.0071270225 0.013334325 0.053482075 0.0876681 -0.32576475 0.5414745 0.4036865 0.18877475 0.368824 0.387269 0.53262275 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 1 0.009868623 0.0392198 0.222789985742411 0.490131377 0.4607802 "SVNP" 0.316227766016838 200 0.5 2 8
